Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
life on land sustainable development goals,INR,500,0%,0%,Low,3,14.15,166.47,,,,,,,,,,,,,,,,,
environmental impact of fast fashion,INR,500,0%,0%,Low,1,5.83,166.47,,,,,,,,,,,,,,,,,
sustainability reporting framework,INR,500,0%,0%,Low,12,6.95,90.70,,,,,,,,,,,,,,,,,
environmental progress & sustainable energy,INR,500,0%,0%,Low,1,16.89,62.96,,,,,,,,,,,,,,,,,
sustainable materials and technologies,INR,500,0%,0%,Low,0,14.69,98.22,,,,,,,,,,,,,,,,,
burberry sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental science and sustainability,INR,500,0%,900%,Low,7,13.36,98.13,,,,,,,,,,,,,,,,,
sustainable food companies,INR,50,0%,0%,Low,16,,,,,,,,,,,,,,,,,,,
esg climate change,INR,50,0%,0%,Low,24,9.99,31.63,,,,,,,,,,,,,,,,,
eco friendly lifestyle,INR,500,0%,0%,Low,2,1.66,9.73,,,,,,,,,,,,,,,,,
fast fashion and climate change,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg goal 11,INR,5000,0%,900%,Low,2,21.32,169.80,,,,,,,,,,,,,,,,,
used solar panel,INR,500,0%,0%,Medium,51,0.97,11.26,,,,,,,,,,,,,,,,,
national renewable,INR,50,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable electricity,INR,50,900%,900%,Low,7,11.59,29.13,,,,,,,,,,,,,,,,,
alternative energy resources,INR,5000,0%,0%,Low,11,16.68,39.12,,,,,,,,,,,,,,,,,
rec energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
introduction to sustainability,INR,500,0%,0%,Low,6,11.34,59.01,,,,,,,,,,,,,,,,,
fsc packaging,INR,50,0%,0%,Low,7,21.41,92.39,,,,,,,,,,,,,,,,,
small water turbine generator,INR,50,0%,0%,Medium,44,1.00,1.15,,,,,,,,,,,,,,,,,
solar power source,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
cop26 goals,INR,50,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
geothermal companies,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
sap esg,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
sustainable consumption,INR,500,0%,0%,Low,1,9.87,69.09,,,,,,,,,,,,,,,,,
renewable energy business,INR,500,0%,0%,Low,20,16.65,47.44,,,,,,,,,,,,,,,,,
renewable energy management,INR,50,0%,0%,Low,7,9.22,159.07,,,,,,,,,,,,,,,,,
zero carbon footprint,INR,500,0%,0%,Low,4,11.65,52.44,,,,,,,,,,,,,,,,,
sustainability indicators,INR,500,0%,0%,Low,6,6.66,43.37,,,,,,,,,,,,,,,,,
solar and wind energy,INR,5000,0%,900%,Low,6,6.66,56.35,,,,,,,,,,,,,,,,,
global sustainable development,INR,500,0%,0%,Low,4,20.81,188.95,,,,,,,,,,,,,,,,,
renewable energy ppt,INR,500,0%,0%,Low,7,13.08,29.97,,,,,,,,,,,,,,,,,
solar electric power generation,INR,5000,0%,0%,Low,14,7.13,40.39,,,,,,,,,,,,,,,,,
wind turbine power output,INR,500,0%,0%,Low,4,5.83,17.48,,,,,,,,,,,,,,,,,
green initiatives examples,INR,50,0%,0%,Low,3,8.93,16.65,,,,,,,,,,,,,,,,,
sustainability audit,INR,500,0%,900%,Low,18,5.83,68.18,,,,,,,,,,,,,,,,,
sdg goal 7,INR,5000,0%,0%,Low,3,14.98,166.47,,,,,,,,,,,,,,,,,
us clean energy,INR,500,0%,0%,Low,26,125.80,349.59,,,,,,,,,,,,,,,,,
renewable energy products,INR,500,0%,0%,Low,24,15.81,55.77,,,,,,,,,,,,,,,,,
green transport,INR,500,0%,0%,Low,1,24.42,229.73,,,,,,,,,,,,,,,,,
clean energy services,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
sustainable innovation examples,INR,500,0%,0%,Low,5,5.83,17.82,,,,,,,,,,,,,,,,,
examples of corporate social responsibility,INR,5000,0%,0%,Low,2,5.83,309.64,,,,,,,,,,,,,,,,,
sustainable packaging design,INR,50,0%,0%,Low,6,7.49,123.16,,,,,,,,,,,,,,,,,
green renewable energy,INR,500,0%,0%,Low,9,16.37,58.27,,,,,,,,,,,,,,,,,
sustainable development goal 15,INR,500,0%,0%,Low,3,16.24,166.47,,,,,,,,,,,,,,,,,
sustainable design architecture,INR,500,0%,0%,Low,6,5.83,28.30,,,,,,,,,,,,,,,,,
renewable energy for home,INR,50,0%,0%,Low,13,12.47,34.96,,,,,,,,,,,,,,,,,
un sdg 12,INR,50,0%,0%,Low,4,117.36,228.07,,,,,,,,,,,,,,,,,
sdg life below water,INR,500,0%,0%,Low,1,71.58,195.61,,,,,,,,,,,,,,,,,
wind electricity,INR,500,0%,0%,Low,8,5.83,42.77,,,,,,,,,,,,,,,,,
esg un,INR,50,0%,0%,Low,14,17.99,261.36,,,,,,,,,,,,,,,,,
sustainability in retail,INR,500,0%,0%,Low,3,10.82,61.59,,,,,,,,,,,,,,,,,
gri index,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
ocean sustainability,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
green energy technologies,INR,500,0%,0%,Low,12,13.14,32.65,,,,,,,,,,,,,,,,,
carbon neutral products,INR,50,900%,900%,Low,10,30.40,98.22,,,,,,,,,,,,,,,,,
ure solar panels,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy magazine,INR,50,0%,900%,Low,6,14.38,52.44,,,,,,,,,,,,,,,,,
non renewable energy sources,INR,5000,0%,0%,Low,1,14.62,48.28,,,,,,,,,,,,,,,,,
sdg goal 13,INR,5000,0%,900%,Low,1,14.19,150.66,,,,,,,,,,,,,,,,,
sdg sustainable cities and communities,INR,500,0%,0%,Low,3,14.98,166.47,,,,,,,,,,,,,,,,,
social sustainability examples,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
most sustainable cities,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
2030 goals,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
sustainable designers,INR,50,0%,0%,Low,4,11.40,32.46,,,,,,,,,,,,,,,,,
alternative building materials,INR,500,0%,0%,Low,7,9.58,24.97,,,,,,,,,,,,,,,,,
sustainability framework,INR,500,0%,0%,Low,5,20.40,108.97,,,,,,,,,,,,,,,,,
green procurement,INR,500,0%,0%,Low,3,4.99,5.83,,,,,,,,,,,,,,,,,
urban sustainability,INR,500,0%,0%,Low,5,13.49,96.55,,,,,,,,,,,,,,,,,
bcg esg,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sasb reporting,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
ways to go green,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
sdg goals upsc,INR,5000,0%,0%,Low,1,25.80,166.47,,,,,,,,,,,,,,,,,
largest renewable energy companies,INR,50,900%,900%,Low,3,34.66,132.57,,,,,,,,,,,,,,,,,
environmental performance index,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable entrepreneurship,INR,500,0%,0%,Low,3,6.66,62.08,,,,,,,,,,,,,,,,,
green energy for carbon neutral ecosystem,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability in interior design,INR,500,0%,0%,Low,8,9.16,64.71,,,,,,,,,,,,,,,,,
utility scale solar,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sustainability challenges,INR,500,0%,0%,Low,3,13.51,32.14,,,,,,,,,,,,,,,,,
sustainable village,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
csr and sustainability,INR,500,0%,0%,Low,6,5.83,61.75,,,,,,,,,,,,,,,,,
eco friendly houses,INR,5000,0%,0%,Low,2,13.60,45.72,,,,,,,,,,,,,,,,,
eco friendly products examples,INR,500,0%,0%,Low,4,9.81,25.68,,,,,,,,,,,,,,,,,
renewable hydrogen,INR,50,0%,0%,Low,12,13.32,81.57,,,,,,,,,,,,,,,,,
renewable energy services,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
cdp climate change questionnaire,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
levi's sustainability,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
strategies for sustainable development,INR,5000,0%,0%,Low,13,11.65,28.53,,,,,,,,,,,,,,,,,
types of clean energy,INR,5000,0%,0%,Low,7,17.81,58.27,,,,,,,,,,,,,,,,,
green hydrogen uses,INR,500,0%,0%,Low,21,14.15,72.42,,,,,,,,,,,,,,,,,
renewable energy paragraph,INR,50,0%,0%,Low,18,16.69,39.12,,,,,,,,,,,,,,,,,
biomass electricity generation,INR,500,0%,0%,Low,6,5.83,45.44,,,,,,,,,,,,,,,,,
switch solar,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental sustainability policy,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
sustainable development goals related to environment,INR,500,0%,-90%,Low,15,13.40,133.18,,,,,,,,,,,,,,,,,
fast fashion sustainability,INR,50,0%,900%,Low,5,2.45,125.69,,,,,,,,,,,,,,,,,
solar electricity for home price,INR,50000,0%,900%,High,93,3.80,13.43,,,,,,,,,,,,,,,,,
world business council for sustainable development,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy pros,INR,50,0%,0%,Low,4,1.66,58.27,,,,,,,,,,,,,,,,,
solar energy ppt,INR,5000,0%,0%,Low,1,9.16,148.99,,,,,,,,,,,,,,,,,
sustainability principles,INR,5000,0%,0%,Low,1,12.37,75.74,,,,,,,,,,,,,,,,,
eco friendly business,INR,500,0%,0%,Low,8,6.66,26.86,,,,,,,,,,,,,,,,,
pros of renewable energy,INR,50,0%,0%,Low,25,6.66,29.13,,,,,,,,,,,,,,,,,
fashion and sustainability,INR,5000,0%,0%,Low,8,1.54,26.15,,,,,,,,,,,,,,,,,
issb sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
5 ways to achieve sustainable development,INR,500,0%,0%,Low,17,13.43,30.66,,,,,,,,,,,,,,,,,
good health and well being sdg,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable tech,INR,5000,0%,0%,Low,8,5.83,23.31,,,,,,,,,,,,,,,,,
un sdg 13,INR,50,0%,0%,Low,3,79.07,174.80,,,,,,,,,,,,,,,,,
new renewable energy,INR,50,0%,-90%,Low,10,14.98,58.27,,,,,,,,,,,,,,,,,
eco business,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
climate change goals,INR,50,0%,0%,Low,6,21.56,193.94,,,,,,,,,,,,,,,,,
sustainable design examples,INR,500,0%,0%,Low,5,5.83,49.67,,,,,,,,,,,,,,,,,
eco friendly concrete,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
about renewable energy,INR,500,0%,0%,Low,28,10.38,39.95,,,,,,,,,,,,,,,,,
green ammonia projects,INR,50,0%,0%,Low,28,34.96,109.51,,,,,,,,,,,,,,,,,
gri sustainability,INR,50,0%,0%,Low,12,5.83,33.42,,,,,,,,,,,,,,,,,
the age of sustainable development,INR,500,900%,0%,Low,4,,,,,,,,,,,,,,,,,,,
zayed sustainability prize,INR,50,900%,900%,Low,4,75.33,158.98,,,,,,,,,,,,,,,,,
sustainable resources,INR,5000,0%,0%,Low,2,16.62,26.80,,,,,,,,,,,,,,,,,
solar energy projects,INR,5000,0%,0%,Low,7,11.58,33.29,,,,,,,,,,,,,,,,,
water stewardship,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable energy is energy that,INR,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
wind power energy,INR,50000,0%,0%,Low,4,6.66,39.12,,,,,,,,,,,,,,,,,
geothermal energy cost,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable development goals upsc,INR,5000,0%,0%,Low,2,49.11,213.08,,,,,,,,,,,,,,,,,
small wind turbines for homes,INR,500,0%,900%,Medium,47,1.28,19.14,,,,,,,,,,,,,,,,,
eco friendly items,INR,500,0%,0%,Low,33,4.09,23.00,,,,,,,,,,,,,,,,,
explain sustainable development goals,INR,5000,0%,0%,Low,5,14.15,166.47,,,,,,,,,,,,,,,,,
domestic wind turbine installation,INR,50,0%,0%,Low,19,,,,,,,,,,,,,,,,,,,
sustainability governance,INR,50,0%,0%,Low,5,9.65,38.17,,,,,,,,,,,,,,,,,
sustainable city examples,INR,500,0%,0%,Low,3,11.53,138.25,,,,,,,,,,,,,,,,,
renewable heating systems,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy climate change,INR,500,0%,0%,Low,15,9.99,39.12,,,,,,,,,,,,,,,,,
sustainable urban design,INR,50,0%,0%,Low,18,14.98,78.42,,,,,,,,,,,,,,,,,
sustainable ways of living,INR,500,-90%,-99%,Low,14,1.66,244.91,,,,,,,,,,,,,,,,,
capgemini sustainability,INR,500,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sdg esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable marketing examples,INR,500,0%,0%,Low,1,5.03,15.81,,,,,,,,,,,,,,,,,
un 17,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
climate change and environmental sustainability,INR,500,0%,0%,Low,12,9.99,129.95,,,,,,,,,,,,,,,,,
environmental architecture,INR,500,0%,0%,Low,3,18.31,33.34,,,,,,,,,,,,,,,,,
corporate social responsibility and sustainability,INR,500,0%,0%,Low,6,5.83,61.75,,,,,,,,,,,,,,,,,
sustainable christmas,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
eco friendly construction materials,INR,500,0%,0%,Low,14,5.83,23.31,,,,,,,,,,,,,,,,,
sdg 12.3,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
office of energy efficiency and renewable energy,INR,50,0%,0%,Low,10,10.82,34.96,,,,,,,,,,,,,,,,,
intel sustainability,INR,50,0%,0%,Low,15,49.94,67.42,,,,,,,,,,,,,,,,,
hydrogen clean energy,INR,50,0%,0%,Low,17,14.15,30.10,,,,,,,,,,,,,,,,,
energy for sustainable development,INR,500,0%,0%,Low,5,12.14,25.99,,,,,,,,,,,,,,,,,
goal 9,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable resource management,INR,500,0%,0%,Low,3,18.98,44.88,,,,,,,,,,,,,,,,,
green energy biofuel,INR,50,0%,0%,Low,12,15.50,91.56,,,,,,,,,,,,,,,,,
sustainable management of natural resources,INR,5000,0%,0%,Low,3,15.03,39.12,,,,,,,,,,,,,,,,,
sustainability institute,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
innovation and sustainability,INR,500,0%,0%,Low,5,10.74,45.17,,,,,,,,,,,,,,,,,
sdg goal 12,INR,5000,0%,0%,Low,2,14.15,166.47,,,,,,,,,,,,,,,,,
sdg goal 9,INR,5000,-90%,-90%,Low,2,15.33,143.17,,,,,,,,,,,,,,,,,
13 climate action,INR,50,-90%,0%,Low,4,11.65,166.47,,,,,,,,,,,,,,,,,
most sustainable city in the world,INR,50,0%,900%,Low,5,24.20,57.00,,,,,,,,,,,,,,,,,
sustainable energy management,INR,50,-90%,0%,Low,14,13.36,57.43,,,,,,,,,,,,,,,,,
the renewable energy company,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
world goals,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
wind renewable energy,INR,500,0%,0%,Low,5,15.63,41.64,,,,,,,,,,,,,,,,,
renewable and non renewable energy,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
global goal on adaptation,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
eco friendly energy sources,INR,500,0%,0%,Low,13,16.54,39.12,,,,,,,,,,,,,,,,,
renewable energy and non renewable energy,INR,5000,0%,0%,Low,1,14.30,54.94,,,,,,,,,,,,,,,,,
sustainability and sustainable development,INR,500000,0%,0%,Low,9,10.82,24.14,,,,,,,,,,,,,,,,,
environmental sustainability index,INR,50,0%,0%,Low,11,26.80,79.07,,,,,,,,,,,,,,,,,
sgma,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
corporate environmental responsibility,INR,500,0%,0%,Low,2,14.98,715.00,,,,,,,,,,,,,,,,,
renewable and nonrenewable energy,INR,5000,0%,0%,Low,1,14.30,54.94,,,,,,,,,,,,,,,,,
solar powers,INR,50000,0%,0%,Low,6,5.25,53.34,,,,,,,,,,,,,,,,,
green agriculture,INR,500,0%,0%,Low,2,10.38,25.01,,,,,,,,,,,,,,,,,
green building solutions,INR,50,0%,0%,Low,10,21.64,119.79,,,,,,,,,,,,,,,,,
green tourism,INR,500,900%,900%,Low,0,27.25,68.60,,,,,,,,,,,,,,,,,
micro hydro power,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
clean renewable energy,INR,50,0%,0%,Low,8,15.65,58.27,,,,,,,,,,,,,,,,,
sustainable solar,INR,50,0%,0%,Low,7,6.66,39.12,,,,,,,,,,,,,,,,,
non renewable resources,INR,50000,0%,0%,Low,0,3.33,66.59,,,,,,,,,,,,,,,,,
sustainability award,INR,500,0%,900%,Low,7,8.40,24.77,,,,,,,,,,,,,,,,,
renewable energy development,INR,50,900%,900%,Low,24,9.16,33.29,,,,,,,,,,,,,,,,,
eco green energy,INR,500,0%,0%,Low,2,15.90,58.27,,,,,,,,,,,,,,,,,
types of green energy,INR,5000,0%,0%,Low,7,17.81,58.27,,,,,,,,,,,,,,,,,
rspo certified,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
challenges of sustainable development,INR,5000,0%,0%,Low,5,13.39,31.63,,,,,,,,,,,,,,,,,
esg sustainability reporting,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
goal 3 good health and well being,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green product,INR,5000,0%,0%,Low,4,7.98,20.59,,,,,,,,,,,,,,,,,
making power solar,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
sustainable development projects for students,INR,500,0%,0%,Low,15,13.32,29.97,,,,,,,,,,,,,,,,,
green energy projects,INR,5000,0%,0%,Low,18,14.03,32.46,,,,,,,,,,,,,,,,,
natural energy sources,INR,5000,900%,900%,Low,1,20.21,63.26,,,,,,,,,,,,,,,,,
environmental initiatives,INR,500,0%,0%,Low,1,10.82,34.43,,,,,,,,,,,,,,,,,
energy efficiency and renewable energy,INR,50,0%,0%,Low,10,10.82,34.96,,,,,,,,,,,,,,,,,
pros of wind energy,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
aws carbon footprint,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
volvo sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability ppt,INR,500,0%,0%,Low,2,13.72,40.69,,,,,,,,,,,,,,,,,
ecofriendly products,INR,5000,0%,0%,Medium,41,5.83,21.92,,,,,,,,,,,,,,,,,
project sustainability,INR,500,0%,0%,Low,14,9.61,28.53,,,,,,,,,,,,,,,,,
list of renewable energy,INR,500,0%,0%,Low,8,17.93,58.27,,,,,,,,,,,,,,,,,
circular packaging,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
indicators of sustainable development,INR,5000,-90%,0%,Low,6,12.21,28.30,,,,,,,,,,,,,,,,,
social and environmental responsibility,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
goal 15 life on land,INR,500,0%,900%,Low,4,60.76,166.47,,,,,,,,,,,,,,,,,
sustainability communication,INR,50,0%,0%,Low,8,5.83,196.64,,,,,,,,,,,,,,,,,
types of sustainable development,INR,5000,0%,0%,Low,2,12.46,27.47,,,,,,,,,,,,,,,,,
environmental sustainability issues,INR,50,900%,0%,Low,4,14.03,25.39,,,,,,,,,,,,,,,,,
environmental progress and sustainable energy,INR,500,0%,0%,Low,1,16.89,62.96,,,,,,,,,,,,,,,,,
corporate social responsibility initiatives,INR,5000,0%,0%,Low,1,9.97,719.99,,,,,,,,,,,,,,,,,
social responsibility projects,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sdg impact,INR,50,0%,0%,Low,6,17.22,166.47,,,,,,,,,,,,,,,,,
iea solar,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly building,INR,500,0%,0%,Low,6,15.28,194.32,,,,,,,,,,,,,,,,,
need for sustainable development,INR,5000,0%,0%,Low,3,14.15,31.63,,,,,,,,,,,,,,,,,
samsung sustainability,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
green energy products,INR,500,0%,0%,Low,24,15.81,55.77,,,,,,,,,,,,,,,,,
goal 14 life below water,INR,500,-90%,-90%,Low,2,64.09,203.93,,,,,,,,,,,,,,,,,
unsdg 12,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
hybrid renewable energy systems,INR,500,0%,0%,Low,7,12.25,34.96,,,,,,,,,,,,,,,,,
sustainable fashion designers,INR,50,900%,900%,Low,2,2.40,22.47,,,,,,,,,,,,,,,,,
eco community,INR,5000,0%,0%,Low,2,7.61,39.92,,,,,,,,,,,,,,,,,
renewable energy sector,INR,500,0%,0%,Low,8,15.81,56.79,,,,,,,,,,,,,,,,,
sdg 3 goals,INR,500,0%,0%,Low,1,13.79,139.00,,,,,,,,,,,,,,,,,
10 uses of solar energy,INR,5000,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
uses of renewable energy,INR,500,0%,0%,Low,12,9.16,33.29,,,,,,,,,,,,,,,,,
eco friendly products project,INR,500,900%,900%,Low,6,9.81,21.64,,,,,,,,,,,,,,,,,
green energy services,INR,50,0%,0%,Low,9,,,,,,,,,,,,,,,,,,,
environment sustainable development,INR,5000,0%,0%,Low,4,13.49,31.63,,,,,,,,,,,,,,,,,
solar power plant cost,INR,500,0%,0%,Low,29,4.28,15.86,,,,,,,,,,,,,,,,,
eco friendly living,INR,500,900%,900%,Low,1,,,,,,,,,,,,,,,,,,,
green growth,INR,5000,0%,900%,Low,0,12.37,148.99,,,,,,,,,,,,,,,,,
renewable energy association,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
types of sustainability,INR,500,0%,0%,Low,1,16.49,81.65,,,,,,,,,,,,,,,,,
wind turbine power,INR,500,0%,0%,Low,6,5.98,58.27,,,,,,,,,,,,,,,,,
biomass power generation,INR,50,0%,0%,Low,7,5.83,35.79,,,,,,,,,,,,,,,,,
solar wind energy,INR,500,0%,0%,Low,9,17.58,55.56,,,,,,,,,,,,,,,,,
green products examples,INR,500,0%,0%,Low,1,8.05,23.02,,,,,,,,,,,,,,,,,
leed construction,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
fast fashion and sustainability,INR,50,0%,900%,Low,5,2.45,125.69,,,,,,,,,,,,,,,,,
eco friendly architecture,INR,500,0%,0%,Low,4,7.19,33.29,,,,,,,,,,,,,,,,,
iea renewable energy,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
regenerative tourism,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
solar wind turbine,INR,500,0%,900%,Low,12,1.04,17.48,,,,,,,,,,,,,,,,,
esg sdg,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
solar and wind power,INR,5000,0%,900%,Low,6,6.66,56.35,,,,,,,,,,,,,,,,,
solar panels and wind turbines,INR,500,0%,0%,Low,11,1.09,19.14,,,,,,,,,,,,,,,,,
solar energy uses,INR,5000,0%,0%,Low,1,5.83,66.59,,,,,,,,,,,,,,,,,
goal 13,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable markets initiative,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
eco friendly activities,INR,500,0%,0%,Low,2,0.80,13.20,,,,,,,,,,,,,,,,,
environmentally friendly materials,INR,5000,0%,0%,Low,2,7.09,25.13,,,,,,,,,,,,,,,,,
sustainable energy resources,INR,500,0%,0%,Low,19,11.65,34.13,,,,,,,,,,,,,,,,,
sustainability in engineering,INR,5000,900%,0%,Low,4,13.49,91.35,,,,,,,,,,,,,,,,,
engineering for sustainable development,INR,500,900%,0%,Low,4,13.46,39.12,,,,,,,,,,,,,,,,,
sustainable living examples,INR,500,0%,0%,Low,2,1.66,13.62,,,,,,,,,,,,,,,,,
renewable and sustainable energy,INR,500,0%,0%,Low,11,9.46,28.30,,,,,,,,,,,,,,,,,
green hydrogen systems as,INR,50,0%,0%,Low,20,46.61,199.12,,,,,,,,,,,,,,,,,
sdg 9 goals,INR,500,0%,0%,Low,3,13.63,79.07,,,,,,,,,,,,,,,,,
wind is a clean source of renewable energy that produces,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
natural gas clean energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco housing,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
reformation sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
natural building materials,INR,500,0%,0%,Low,2,7.93,19.88,,,,,,,,,,,,,,,,,
sdg goal 15,INR,500,0%,0%,Low,1,31.63,157.32,,,,,,,,,,,,,,,,,
solar photovoltaics,INR,5000,0%,0%,Low,2,5.83,58.27,,,,,,,,,,,,,,,,,
green building and sustainability,INR,500,0%,0%,Low,3,9.35,110.37,,,,,,,,,,,,,,,,,
mp energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar panels generate electricity,INR,500,0%,-90%,Low,4,7.02,19.14,,,,,,,,,,,,,,,,,
explain sustainable development,INR,50000,0%,0%,Low,2,11.45,33.29,,,,,,,,,,,,,,,,,
offshore renewable energy,INR,50,0%,0%,Low,6,14.38,41.81,,,,,,,,,,,,,,,,,
green power company,INR,500,0%,900%,Low,2,15.90,75.74,,,,,,,,,,,,,,,,,
6rs of sustainability,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal electricity,INR,50000,0%,0%,Low,2,5.83,53.27,,,,,,,,,,,,,,,,,
sdg goal 14,INR,500,0%,0%,Low,2,16.77,166.47,,,,,,,,,,,,,,,,,
solar energy sustainable development,INR,500,0%,0%,Low,11,10.31,38.29,,,,,,,,,,,,,,,,,
ion clean energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
clean energy resources,INR,50,0%,0%,Low,17,17.57,48.28,,,,,,,,,,,,,,,,,
leed green building,INR,500,0%,0%,Low,3,4.99,32.46,,,,,,,,,,,,,,,,,
photovoltaic power plant,INR,500,0%,0%,Low,1,4.40,41.13,,,,,,,,,,,,,,,,,
sustainable agriculture ppt,INR,500,0%,0%,Low,2,14.15,119.03,,,,,,,,,,,,,,,,,
sustainable development in environmental law,INR,5000,0%,0%,Low,3,13.32,41.62,,,,,,,,,,,,,,,,,
types of renewable resources,INR,5000,0%,0%,Low,5,19.33,39.12,,,,,,,,,,,,,,,,,
renewable energy group inc,INR,500,0%,0%,Low,2,17.62,39.12,,,,,,,,,,,,,,,,,
